Time,fatal,serious,minor,Damage Only
0000 - 0200,28,47,155,544
0201 - 0400,19,26,133,349
0401 - 0600,27,30,123,432
0601 - 0800,25,92,324,1426
0801 - 1000,20,40,191,1252
1001 - 1200,20,63,282,1616
1201 - 1400,24,74,282,1712
1401 - 1600,42,84,331,1694
1601 - 1800,41,118,500,1817
1801 - 2000,59,156,480,1951
2001 - 2200,37,101,316,1629
2201 - 2300,30,66,230,982
