TIME,Year,Fatalities,Serious Inj
00:01 – 02:00,2008,27,113
02:01 – 04:00,2008,21,52
04:01 – 06:00,2008,23,42
06:01 – 08:00,2008,22,104
08:01 – 10:00,2008,27,82
10:01 – 12:00,2008,22,88
12:01 – 14:00,2008,39,139
14:01 – 16:00,2008,51,169
16:01 – 18:00,2008,63,213
18:01 – 20:00,2008,57,229
20:01 – 22:00,2008,58,179
22:01 – 00:00,2008,45,112
00:01 – 02:00,2009,37,91
02:01 – 04:00,2009,19,42
04:01 – 06:00,2009,36,75
06:01 – 08:00,2009,32,132
08:01 – 10:00,2009,26,83
10:01 – 12:00,2009,29,91
12:01 – 14:00,2009,34,120
14:01 – 16:00,2009,56,165
16:01 – 18:00,2009,48,220
18:01 – 20:00,2009,75,238
20:01 – 22:00,2009,45,164
22:01 – 00:00,2009,38,119
00:01 – 02:00,2010,29,59
02:01 – 04:00,2010,19,53
04:01 – 06:00,2010,34,48
06:01 – 08:00,2010,26,90
08:01 – 10:00,2010,18,61
10:01 – 12:00,2010,18,94
12:01 – 14:00,2010,37,126
14:01 – 16:00,2010,41,135
16:01 – 18:00,2010,46,133
18:01 – 20:00,2010,63,203
20:01 – 22:00,2010,40,156
22:01 – 00:00,2010,26,94
00:01 – 02:00,2011,25,60
02:01 – 04:00,2011,20,38
04:01 – 06:00,2011,21,52
06:01 – 08:00,2011,54,106
08:01 – 10:00,2011,27,75
10:01 – 12:00,2011,24,91
12:01 – 14:00,2011,24,78
14:01 – 16:00,2011,58,151
16:01 – 18:00,2011,52,136
18:01 – 20:00,2011,74,175
20:01 – 22:00,2011,52,157
22:01 – 00:00,2011,52,120
00:01 – 02:00,2012,25,81
02:01 – 04:00,2012,17,60
04:01 – 06:00,2012,31,49
06:01 – 08:00,2012,34,104
08:01 – 10:00,2012,28,79
10:01 – 12:00,2012,32,87
12:01 – 14:00,2012,37,144
14:01 – 16:00,2012,37,142
16:01 – 18:00,2012,39,142
18:01 – 20:00,2012,63,195
20:01 – 22:00,2012,35,97
22:01 – 00:00,2012,26,105
00:01 – 02:00,2013,33,78
02:01 – 04:00,2013,31,47
04:01 – 06:00,2013,29,55
06:01 – 08:00,2013,19,68
08:01 – 10:00,2013,28,93
10:01 – 12:00,2013,29,90
12:01 – 14:00,2013,21,81
14:01 – 16:00,2013,29,143
16:01 – 18:00,2013,50,173
18:01 – 20:00,2013,53,199
20:01 – 22:00,2013,47,158
22:01 – 00:00,2013,42,123
00:01 – 02:00,2014,40,82
02:01 – 04:00,2014,16,45
04:01 – 06:00,2014,16,45
06:01 – 08:00,2014,23,83
08:01 – 10:00,2014,23,63
10:01 – 12:00,2014,24,60
12:01 – 14:00,2014,32,119
14:01 – 16:00,2014,24,114
16:01 – 18:00,2014,27,136
18:01 – 20:00,2014,77,226
20:01 – 22:00,2014,38,150
22:01 – 00:00,2014,37,111
00:01 – 02:00,2015,55,110
02:01 – 04:00,2015,20,36
04:01 – 06:00,2015,20,47
06:01 – 08:00,2015,33,99
08:01 – 10:00,2015,11,44
10:01 – 12:00,2015,18,100
12:01 – 14:00,2015,26,114
14:01 – 16:00,2015,34,188
16:01 – 18:00,2015,34,163
18:01 – 20:00,2015,66,174
20:01 – 22:00,2015,60,157
22:01 – 00:00,2015,34,132
00:01 – 02:00,2016,27,69
02:01 – 04:00,2016,17,60
04:01 – 06:00,2016,35,72
06:01 – 08:00,2016,29,78
08:01 – 10:00,2016,33,77
10:01 – 12:00,2016,39,83
12:01 – 14:00,2016,24,85
14:01 – 16:00,2016,31,99
16:01 – 18:00,2016,50,178
18:01 – 20:00,2016,70,205
20:01 – 22:00,2016,42,142
22:01 – 00:00,2016,53,95
00:01 – 02:00,2017,23,74
02:01 – 04:00,2017,23,63
04:01 – 06:00,2017,38,50
06:01 – 08:00,2017,31,85
08:01 – 10:00,2017,17,54
10:01 – 12:00,2017,21,55
12:01 – 14:00,2017,31,90
14:01 – 16:00,2017,36,118
16:01 – 18:00,2017,36,132
18:01 – 20:00,2017,75,177
20:01 – 22:00,2017,61,144
22:01 – 00:00,2017,52,110
