Cause of Crash,Causes of Car Crashes,Year,Casualty
Drivers,Following to close from behind,2010,1862
Drivers,Reversing negligently,2010,1563
Drivers,Losing Control,2010,1204
Drivers,Failing to comply with traffic sign or,2010,710
Drivers,Unlicensed driver,2010,590
Drivers,Influence of drinks or drugs,2010,492
Drivers,Overtaking improperly,2010,423
Drivers,Over speeding,2010,384
Drivers,Turning without care,2010,297
Drivers,U - turning,2010,135
Drivers,Fatigued or asleep,2010,83
Drivers,Swerving to the left/right carelessly,2010,32
Drivers,Cyclist error,2010,32
Drivers,Dazzled by oncoming traffic lights,2010,21
Drivers,Overloading,2010,19
Drivers,Physical defective,2010,0
Drivers,Stopping suddenly,2010,7
Drivers,Negligence of PSV driver,2010,7
Drivers,Pulling off the road without care,2010,6
Drivers,Negligently opening vehicle door,2010,3
Drivers,"Hampered by passenger, animal or",2010,2
Drivers,Other driver negligence,2010,7056
Pedestrian,Crossing without care,2010,327
Pedestrian,Under influence of drinks or drugs,2010,49
Pedestrian,Walking or standing on the road,2010,19
Pedestrian,Playing on the road,2010,17
Pedestrian,Slipping or falling when crossing the,2010,3
Pedestrian,Sudden illness,2010,2
Pedestrian,Holding on to a vehicle,2010,1
Pedestrian,Sleeping on the road,2010,0
Pedestrian,Other pedestrian negligence,2010,104
Passenger,Falling from a vehicle,2010,25
Passenger,Boarding or alighting without care,2010,11
Passenger,Under influence of drinks or drugs,2010,3
Passenger,Stealing a ride,2010,2
Passenger,Other passenger negligence,2010,52
Animals,Cattle on the road,2010,1883
Animals,Dog on the road,2010,167
Animals,Animal in the Vehicle,2010,6
Animals,Other animal on the road,2010,539
Obstructions,Stationary vehicle dangerously placed,2010,3
Obstructions,Collision with vehicle already involved,2010,4
Obstructions,Other obstructions,2010,167
Defects,Tyre burst,2010,222
Defects,Defect unattended vehicle running,2010,11
Defects,Physical defective,2010,8
Defects,Other defects,2010,249
Weather,Road surface type,2010,81
Weather,Roads pot holes,2010,58
Weather,Heavy rain,2010,13
Weather,Strong wind,2010,6
Weather,Other weather factors,2010,11
Weather,Use of Cell phone while driving,2010,7
Drivers,Following to close from behind,2011,2281
Drivers,Reversing negligently,2011,1363
Drivers,Losing Control,2011,1382
Drivers,Failing to comply with traffic sign or,2011,631
Drivers,Unlicensed driver,2011,569
Drivers,Influence of drinks or drugs,2011,429
Drivers,Overtaking improperly,2011,427
Drivers,Over speeding,2011,269
Drivers,Turning without care,2011,264
Drivers,U - turning,2011,116
Drivers,Fatigued or asleep,2011,59
Drivers,Swerving to the left/right carelessly,2011,30
