Station,Year,Number of Registered Vehicles
DRTS Hq,1995-2012,77603
Kanye,1995-2012,7600
Palapye,1995-2012,9618
Maun,1995-2012,16059
Lobatse,1995-2012,26567
Mahalapye,1995-2012,9902
Tsabong,1995-2012,1672
Kasane,1995-2012,3171
Molepolole,1995-2012,4607
S/Phikwe,1995-2012,21364
Letlhakane,1995-2012,4012
Serowe,1995-2012,8960
Ramotswa,1995-2012,5238
Mochudi,1995-2012,5935
F/Town,1995-2012,45302
Gantsi,1995-2012,3508
Gaborone II,1995-2012,104191
Tutume,1995-2012,1906
Kang,1995-2012,87
Bobonong,1995-2012,698
Sowa,1995-2012,264
Jwaneng,1995-2012,945
Gumare,1995-2012,94
Gaborone III,1995-2012,56523
Mogoditshane,1995-2012,36785
Masunga,1995-2012,32
Shakawe,1995-2012,2
Gaborone IV,1995-2012,13713
F/Town G/ Valley,1995-2012,5369
Old Supplies,1995-2012,1803
DRTS Hq,2013,6666
Kanye,2013,112
Palapye,2013,561
Maun,2013,1544
Lobatse,2013,3404
Mahalapye,2013,453
Tsabong,2013,43
Kasane,2013,252
Molepolole,2013,215
S/Phikwe,2013,1071
Letlhakane,2013,292
Serowe,2013,546
Ramotswa,2013,694
Mochudi,2013,252
F/Town,2013,2238
Gantsi,2013,307
Gaborone II,2013,4922
Tutume,2013,29
Kang,2013,20
Bobonong,2013,4
Sowa,2013,21
Jwaneng,2013,212
Gumare,2013,17
Gaborone III,2013,3987
Mogoditshane,2013,8137
Masunga,2013,16
Shakawe,2013,9
Gaborone IV,2013,544
F/Town G/ Valley,2013,2137
Old Supplies,2013,3035
DRTS Hq,2014,7615
Kanye,2014,249
Palapye,2014,556
Maun,2014,1370
Lobatse,2014,1755
Mahalapye,2014,489
Tsabong,2014,31
Kasane,2014,192
Molepolole,2014,318
S/Phikwe,2014,1120
Letlhakane,2014,258
Serowe,2014,618
Ramotswa,2014,1262
Mochudi,2014,435
F/Town,2014,1606
Gantsi,2014,256
Gaborone II,2014,5558
Tutume,2014,55
Kang,2014,14
Bobonong,2014,9
Sowa,2014,31
Jwaneng,2014,227
Gumare,2014,16
Gaborone III,2014,3217
Mogoditshane,2014,9982
Masunga,2014,20
Shakawe,2014,12
Gaborone IV,2014,
F/Town G/ Valley,2014,3308
Old Supplies,2014,888
DRTS Hq,2015,6386
Kanye,2015,216
Palapye,2015,654
Maun,2015,1360
Lobatse,2015,1762
Mahalapye,2015,564
Tsabong,2015,41
Kasane,2015,108
Molepolole,2015,261
S/Phikwe,2015,1157
Letlhakane,2015,269
Serowe,2015,589
Ramotswa,2015,1281
Mochudi,2015,425
F/Town,2015,1558
Gantsi,2015,237
Gaborone II,2015,6585
Tutume,2015,93
Kang,2015,11
Bobonong,2015,19
Sowa,2015,21
Jwaneng,2015,237
Gumare,2015,10
Gaborone III,2015,4159
Mogoditshane,2015,13968
Masunga,2015,22
Shakawe,2015,1
Gaborone IV,2015,
F/Town G/ Valley,2015,3282
Old Supplies,2015,809
DRTS Hq,2016,8054
Kanye,2016,167
Palapye,2016,734
Maun,2016,1322
Lobatse,2016,1632
Mahalapye,2016,560
Tsabong,2016,61
Kasane,2016,130
Molepolole,2016,255
S/Phikwe,2016,1027
Letlhakane,2016,255
Serowe,2016,589
Ramotswa,2016,1454
Mochudi,2016,448
F/Town,2016,1510
Gantsi,2016,232
Gaborone II,2016,6477
Tutume,2016,24
Kang,2016,13
Bobonong,2016,9
Sowa,2016,11
Jwaneng,2016,396
Gumare,2016,23
Gaborone III,2016,5757
Mogoditshane,2016,15437
Masunga,2016,18
Shakawe,2016,5
Gaborone IV,2016,
F/Town G/ Valley,2016,3341
Old Supplies,2016,493
DRTS Hq,2017,10820
Kanye,2017,252
Palapye,2017,802
Maun,2017,1463
Lobatse,2017,2148
Mahalapye,2017,558
Tsabong,2017,63
Kasane,2017,115
Molepolole,2017,1101
S/Phikwe,2017,943
Letlhakane,2017,251
Serowe,2017,615
Ramotswa,2017,1601
Mochudi,2017,529
F/Town,2017,1851
Gantsi,2017,274
Gaborone II,2017,6272
Tutume,2017,32
Kang,2017,18
Bobonong,2017,24
Sowa,2017,12
Jwaneng,2017,403
Gumare,2017,14
Gaborone III,2017,10106
Mogoditshane,2017,8326
Masunga,2017,12
Shakawe,2017,11
Gaborone IV,2017,
F/Town G/ Valley,2017,3147
Old Supplies,2017,1437
