Casuality Class,Year,Day,Casualties
Minor,2016,Thursday,590
Minor,2017,Thursday,504
Fatalities,2009,Friday,91
Fatalities,2010,Friday,55
Fatalities,2011,Friday,85
Fatalities,2012,Friday,60
Fatalities,2013,Friday,50
Fatalities,2014,Friday,77
Fatalities,2015,Friday,64
Fatalities,2016,Friday,78
Fatalities,2017,Friday,58
Fatalities,,Friday,
Serious,2009,Friday,252
Serious,2010,Friday,200
Serious,2011,Friday,204
Serious,2012,Friday,170
Serious,2013,Friday,173
Serious,2014,Friday,210
Serious,2015,Friday,317
Serious,2016,Friday,221
Serious,2017,Friday,189
Serious,,Friday,
Minor,2009,Friday,998
Minor,2010,Friday,752
Minor,2011,Friday,746
Minor,2012,Friday,694
Minor,2013,Friday,694
Minor,2014,Friday,760
Minor,2015,Friday,766
Minor,2016,Friday,879
Minor,2017,Friday,760
Fatalities,2009,Saturday,85
Fatalities,2010,Saturday,88
Fatalities,2011,Saturday,118
Fatalities,2012,Saturday,103
Fatalities,2013,Saturday,103
Fatalities,2014,Saturday,94
Fatalities,2015,Saturday,105
Fatalities,2016,Saturday,122
Fatalities,2017,Saturday,128
Fatalities,,Saturday,
Serious,2009,Saturday,381
Serious,2010,Saturday,286
Serious,2011,Saturday,289
Serious,2012,Saturday,293
Serious,2013,Saturday,330
Serious,2014,Saturday,275
Serious,2015,Saturday,298
Serious,2016,Saturday,303
Serious,2017,Saturday,267
Serious,,Saturday,
Minor,2009,Saturday,1201
Minor,2010,Saturday,1004
Minor,2011,Saturday,1077
Minor,2012,Saturday,944
Minor,2013,Saturday,956
Minor,2014,Saturday,961
Minor,2015,Saturday,963
Minor,2016,Saturday,1100
Minor,2017,Saturday,1036
