Day,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Day,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sunday,2844,2722,2494,2365,2360,2400,2316,2405,2425,2581
Monday,2632,2666,2501,2386,2371,2145,2093,2289,2483,2282
Tuesday,2642,2497,2379,2298,2252,2074,2087,2182,2231,2195
Wednesday,2603,2567,2506,2343,2200,2189,2102,2233,2231,2085
Thursday,2599,2818,2608,2343,2329,2314,2259,2348,2457,2265
Friday,3502,3344,3210,3138,2909,2856,2827,2947,3221,3011
Saturday,3593,3386,3280,3128,3106,3084,2957,3250,3325,3367
