Casualty Class,Year,Participant,Casualties
Fatalities,2012,Driver,115
Fatalities,2013,Driver,98
Fatalities,2014,Driver,97
Fatalities,2015,Driver,116
Fatalities,2016,Driver,128
Fatalities,2017,Driver,126
Serious,2012,Driver,316
Serious,2013,Driver,344
Serious,2014,Driver,324
Serious,2015,Driver,324
Serious,2016,Driver,353
Serious,2017,Driver,315
Minor,2012,Driver,1448
Minor,2013,Driver,1454
Minor,2014,Driver,1439
Minor,2015,Driver,1483
Minor,2016,Driver,1668
Minor,2017,Driver,1670
Fatalities,2012,Passenger,184
Fatalities,2013,Passenger,201
Fatalities,2014,Passenger,186
Fatalities,2015,Passenger,175
Fatalities,2016,Passenger,211
Fatalities,2017,Passenger,176
Serious,2012,Passenger,623
Serious,2013,Passenger,698
Serious,2014,Passenger,630
Serious,2015,Passenger,743
Serious,2016,Passenger,609
Serious,2017,Passenger,543
Minor,2012,Passenger,1964
Minor,2013,Passenger,2011
Minor,2014,Passenger,2042
Minor,2015,Passenger,2040
Minor,2016,Passenger,2277
Minor,2017,Passenger,2057
Fatalities,2012,Pedestrian,105
Fatalities,2013,Pedestrian,112
Fatalities,2014,Pedestrian,94
Fatalities,2015,Pedestrian,120
Fatalities,2016,Pedestrian,111
Fatalities,2017,Pedestrian,142
Serious,2012,Pedestrian,346
Serious,2013,Pedestrian,266
Serious,2014,Pedestrian,280
Serious,2015,Pedestrian,297
Serious,2016,Pedestrian,281
Serious,2017,Pedestrian,294
Minor,2012,Pedestrian,934
Minor,2013,Pedestrian,973
Minor,2014,Pedestrian,973
Minor,2015,Pedestrian,1005
Minor,2016,Pedestrian,1049
Minor,2017,Pedestrian,1012
